Año,Mundo,Asia,África,Europa,Latinoamérica/Caribe,América Norteña,Oceanía
2000,6144,3741 (60.9%),811 (13.2%),726 (11.8%),522 (8.5%),312 (5.1%),31 (0.5%)
2005,6542,3978 (60.8%),916 (14.0%),729 (11.2%),558 (8.5%),327 (5.0%),34 (0.5%)
2010,6957,4210 (60.5%),1039 (14.9%),736 (10.6%),591 (8.5%),343 (4.9%),37 (0.5%)
2015,7380,4434 (60.1%),1182 (16.0%),743 (10.1%),624 (8.5%),357 (4.8%),40 (0.5%)
2020,7795,4641 (59.5%),1341 (17.2%),748 (9.6%),654 (8.4%),369 (4.7%),43 (0.6%)
2025,8184,4823 (58.9%),1509 (18.4%),746 (9.1%),682 (8.3%),380 (4.6%),45 (0.6%)
2030,8549,4974 (58.2%),1688 (19.8%),741 (8.7%),706 (8.3%),391 (4.6%),48 (0.6%)
2035,8888,5096 (57.3%),1878 (21.1%),735 (8.3%),726 (8.2%),401 (4.5%),50 (0.6%)
2040,9199,5189 (56.4%),2077 (22.6%),728 (7.9%),742 (8.1%),410 (4.5%),53 (0.6%)
2045,9482,5253 (55.4%),2282 (24.1%),720 (7.6%),754 (8.0%),418 (4.4%),55 (0.6%)
2050,9735,5290 (54.3%),2489 (25.6%),711 (7.3%),762 (7.8%),425 (4.4%),57 (0.6%)
2055,9958,5302 (53.2%),2698 (27.1%),700 (7.0%),767 (7.7%),432 (4.3%),60 (0.6%)
2060,10 152,5289 (52.1%),2905 (28.6%),689 (6.8%),768 (7.6%),439 (4.3%),62 (0.6%)
2065,10 318,5256 (51.0%),3109 (30.1%),677 (6.6%),765 (7.4%),447 (4.3%),64 (0.6%)
2070,10 459,5207 (49.8%),3308 (31.6%),667 (6.4%),759 (7.3%),454 (4.3%),66 (0.6%)
2075,10 577,5143 (48.6%),3499 (33.1%),657 (6.2%),750 (7.1%),461 (4.4%),67 (0.6%)
2080,10 674,5068 (47.5%),3681 (34.5%),650 (6.1%),739 (6.9%),468 (4.4%),69 (0.7%)
2085,10 750,4987 (46.4%),3851 (35.8%),643 (6.0%),726 (6.8%),474 (4.4%),71 (0.7%)
2090,10 810,4901 (45.3%),4008 (37.1%),638 (5.9%),711 (6.6%),479 (4.4%),72 (0.7%)
2095,10 852,4812 (44.3%),4152 (38.3%),634 (5.8%),696 (6.4%),485 (4.5%),74 (0.7%)
2100,10 875,4719 (43.4%),4280 (39.4%),630 (5.8%),680 (6.3%),491 (4.5%),75 (0.7%)
