Edad,Hombres,Mujeres,Fuente
100- años,140 492,581 583,[13]​
95 - 99 años,1 267 671,3 670 143,[13]​
90 - 94 años,6 194 605,13 367 927,[13]​
85 - 89 años,18 233 518,31 250 902,[13]​
80 - 84 años,37 059 021,53 040 058,[13]​
75 - 79 años,65 167 882,83 250 699,[13]​
70 - 74 años,103 634 496,123 946 958,[13]​
65 - 69 años,137 638 922,154 453 307,[13]​
60 - 64 años,169 948 906,181 210 275,[13]​
55 - 59 años,207 127 190,212 733 178,[13]​
50 - 54 años,232 210 846,232 586 284,[13]​
45 - 49 años,240 114 725,236 673 086,[13]​
40 - 44 años,269 993 781,262 996 284,[13]​
35 - 39 años,298 612 034,288 227 513,[13]​
30 - 34 años,306 528 586,292 398 875,[13]​
25 - 29 años,304 860 341,287 526 797,[13]​
20 - 24 años,315 291 946,296 232 075,[13]​
15 - 19 años,332 007 571,311 182 871,[13]​
10 - 14 años,348 796 469,327 064 116,[13]​
5 - 9 años,349 534 148,329 407 713,[13]​
0 - 4 años,334 801 671,317 870 545,[13]​
