Año,1,1000,1500,1600,1700,1820,1870,1913,1950,1973,1998
Europa Occidental,24 700,25 413,57 268,73 778,81 460,132 888,187 532,261 007,305 060,358 390,388 399
Europa Oriental (excluyendo los países de la URSS),4 750,6 500,13 500,16 950,18 800,36 415,52 182,79 604,87 289,110 490,121 006
Antigua URSS,3 900,7 100,16 950,20 700,26 550,54 765,88 672,156 192,180 050,249 748,290 866
Totalidad de Europa (incluyendo los países de la URSS),33 350,39 013,87 718,111 428,126 810,224 068,328 386,496 803,572 399,718 628,800 271
Estados Unidos[25]​,680,1 300,2 000,1 500,1 000,9 981,40 241,97 606,152 271,212 909,279 040
Otras ramificaciones occidentales,490,660,800,800,750,1 249,5 892,13 795,23 823,39 036,52 859
Totalidad de las ramificaciones occidentales,1 170,1 960,2 800,2 300,1 750,11 230,46 133,111 401,176 094,250 945,323 420
México,2 200,4 500,7 500,2 500,4 500,6 587,9 219,14 970,28 485,57 643,98 553
Otros países de Latinoamérica,3 400,6 900,10 000,6 100,7 550,14 633,30 754,65 545,137 352,250 807,409 070
Totalidad de Latino América,5 600,11 400,17 500,8 600,12 050,21 220,39 973,80 515,165 837,308 450,507 623
Japón,3 000,7 500,15 400,18 500,27 000,31 000,34 437,51 672,83 563,108 660,126 469
China,59 600,59 000,103 000,160 000,138 000,381 000,358 000,437 140,546 815,881 940,1 242 700
India,75 000,77 000,113 000,145 000,201 000,209 000,239 000,319 000,362 000,549 000,1 029 000
Otros países de Asia,36 600,41 400,55 400,65 000,71 800,89 366,119 619,185 092,392 481,677 214,1 172 243
Totalidad de Asia (excluyendo Japón),171 200,175 400,268 400,360 000,374 800,679 366,730 619,925 932,1 298 296,2 139 154,3 389 943
África,16 500,33 000,46 000,55 000,61 000,74 208,90 466,124 697,228 342,387 645,759 954
Mundo (miles),230 820,268 273,437 818,555 828,603 410,1 041 092,1 270 014,1 791 020,2 524 531,3 913 482,5 907 680
