Año,Total,África,Asia,Europa,América,Oceanía,Crecimiento entre periodos,Crecimiento anual medio (%)
10000 a. C.,1 000 000,,,,,,,
8000 a. C.,8 000 000,,,,,,,
1000 a. C.,50 000 000,,,,,,,
500 a. C.,100 000 000,,,,,,,
1 d. C.,200 000 000,,,,,,,
1000,310 000 000,,,,,,,
1750,791 000 000,61 000 000,502 000 000,163 000 000,18 000 000,2 000 000,,
1800,978 000 000,107 000 000,635 000 000,203 000 000,31 000 000,2 000 000,23.64 %,0.43 %
1850,1 262 000 000,111 000 000,809 000 000,276 000 000,64 000 000,2 000 000,29.04 %,0.51 %
1900,1 650 000 000,133 000 000,947 000 000,408 000 000,156 000 000,6 000 000,30.74 %,0.54 %
1950,2 518 630 000,221 214 000,1 398 488 000,547 403 000,338 713 000,12 812 000,52.64 %,0.85 %
1955,2 755 823 000,246 746 000,1 542 000 000,575 184 000,377 681 000,14 265 000,9.42 %,1.82 %
1960,2 982 142 000,277 398 000,1 674 000 000,601 401 000,413 455 000,15 888 000,8.21 %,1.59 %
1965,3 334 874 000,313 744 000,1 899 424 000,634 026 000,470 022 000,17 657 000,11.83 %,2.26 %
1970,3 692 492 000,357 283 000,2 143 118 000,655 855 000,516 793 000,19 443 000,10.72 %,2.06 %
1975,4 068 109 000,408 160 000,2 397 512 000,675 542 000,565 331 000,21 564 000,10.17 %,1.96 %
1980,4 434 682 000,469 618 000,2 632 335 000,692 431 000,617 469 000,22 828 000,9.01 %,1.74 %
1985,4 830 978 000,541 814 000,2 887 552 000,706 009 000,670 925 000,24 678 000,8.94 %,1.73 %
1990,5 263 593 000,622 443 000,3 167 807 000,721 582 000,725 074 000,26 687 000,8.96 %,1.73 %
1995,5 674 328 000,707 462 000,3 430 000 000,727 405 000,780 537 000,28 924 000,7.80 %,1.51 %
2000,6 070 581 000,795 671 000,3 679 737 000,727 986 000,836 144 000,31 043 000,6.98 %*,1.36 %
2005,6 453 628 000,887 964 000,3 917 508 000,724 722 000,890 437 000,32 998 000,6.31 %,1.23 %
2008,6 709 132 764,972 752 377,4 053 868 076,731 682 934,916 454 284,34 375 093,3.93 %,1.29 %
2010,6 863 879 342,1 004 491 200,4 118 200 004,735 689 998,970 998 140,34 500 000,2.16 %,1.08 %
2011,7 082 354 087,1 050 311 998,4 240 900 000,750 000 000,1 005 098 001,36 044 088,3.08 %,2.54 %
2017,7 722 727 000,1 110 020 000,4 677 291 000,781 000 000,1 024 215 000,40 201 000,2.16 %,1.18 %
2018,7 750 890 000,1 150 214 000,4 680 120 000,785 210 000,1 031 125 000,40 982 000,2.10 %,1.95 %
2019,7 770 521 000,1 201 101 000,4 691 230 000,795 102 000,1 059 120 000,41 310 000,2.05 %,2.01 %
2020,7 800 124 000,1 250 302 000,4 700 210 000,801 210 000,1 094 210 000,42 954 000,1.95 %,1.01 %
