Año,1,1000,1500,1600,1700,1820,1870,1913,1950,1973,1998
Europa Occidental,10.7,9.5,13.1,13.3,13.5,12.8,14.8,14.6,12.1,9.2,6.6
Europa Oriental (excluyendo los países de la URSS),2.1,2.4,3.1,3.0,3.1,3.5,4.1,4.4,3.5,2.8,2.0
Antigua URSS,1.7,2.6,3.9,3.7,4.4,5.3,7.0,8.7,7.1,6.4,4.9
Totalidad de Europa (incluyendo los países de la URSS),14.5,14.5,20.1,20.0,21.0,21.6,25.9,27.7,22.7,18.4,13.5
Estados Unidos,0.3,0.5,0.5,0.3,0.2,1.0,3.2,5.4,6.0,5.4,4.6
Otras ramificaciones Occidentales,0.2,0.2,0.2,0.1,0.1,0.1,0.5,0.8,0.9,1.0,0.9
Totalidad de ramificaciones Occidentales,0.5,0.7,0.6,0.4,0.3,1.1,3.6,6.2,7.0,6.4,5.5
México,1.0,1.7,1.7,0.4,0.7,0.6,0.7,0.8,1.1,1.5,1.7
Otros países de Latinoamérica,1.5,2.6,2.3,1.1,1.3,1.4,2.4,3.7,5.4,6.4,6.9
Latino América total,2.4,4.2,4.0,1.5,2.0,2.0,3.1,4.5,6.6,7.9,8.6
Japón,1.3,2.8,3.5,3.3,4.5,3.0,2.7,2.9,3.3,2.8,2.1
China,25.8,22.0,23.5,28.8,22.9,36.6,28.2,24.4,21.7,22.5,21.0
India,32.5,28.0,25.1,24.3,27.3,20.1,19.9,17.0,14.2,14.8,16.5
Otros países de Asia,15.9,15.4,12.7,11.7,11.9,8.6,9.4,10.3,15.5,17.3,19.8
Asia total (excluyendo Japón),74.2,65.4,61.3,64.8,62.1,65.3,57.5,51.7,51.4,54.7,57.4
África,7.1,12.3,10.5,9.9,10.1,7.1,7.1,7.0,9.0,9.9,12.9
Mundo,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
